"","Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","TEAM","SALARY","EVAL"
"15","Andre Iguodala",243,"SF",32,"GSW",65,1,26.6,2.7,5.7,0.478,0.8,2.4,0.351,1.9,3.3,0.57,0.552,0.8,1.3,0.614,0.8,3.2,4,3.4,1.1,0.3,1.2,1.6,7,"Golden State Warriors",11710456,12.77328
"36","Bobby Portis",244,"PF",20,"CHI",62,4,17.8,3,7,0.427,0.3,0.8,0.308,2.7,6.2,0.443,0.445,0.8,1.1,0.727,2,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7,"Chicago Bulls",1391160,9.0157
"67","Clint Capela",239,"C",21,"HOU",77,35,19.1,3,5.2,0.582,0,0,0,3,5.1,0.583,0.582,1,2.7,0.379,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7,"Houston Rockets",1242720,13.81668
"116","Festus Ezeli",241,"C",26,"GSW",46,13,16.7,2.7,5,0.548,0,0,0.293816618911175,2.7,5,0.548,0.548,1.5,2.9,0.53,2,3.6,5.6,0.7,0.4,1.1,0.8,2,7,"Golden State Warriors",2008748,12.01764
"171","John Henson",242,"C",25,"MIL",57,1,16.8,2.9,5.1,0.564,0,0,0,2.9,5.1,0.566,0.564,1.2,2.1,0.59,1.5,2.4,3.9,0.9,0.3,1.9,1.1,2.3,7,"Milwaukee Bucks",2943221,11.8722
"234","Luke Babbitt",238,"SF",26,"NOP",47,13,18,2.6,6.1,0.422,0.9,2.3,0.404,1.7,3.8,0.433,0.498,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7,"New Orleans Pelicans",1100602,8.79966
"375","Willie Cauley-Stein",240,"C",22,"SAC",66,39,21.4,2.9,5.1,0.563,0,0,0,2.9,5.1,0.567,0.563,1.2,1.9,0.648,2,3.3,5.3,0.6,0.7,1,0.7,2.2,7,"Sacramento Kings",3398280,12.386
"21","Andrew Nicholson",248,"PF",26,"ORL",56,0,14.7,2.6,5.5,0.471,0.7,2,0.36,1.9,3.5,0.536,0.537,0.9,1.2,0.785,0.6,3,3.6,0.4,0.2,0.4,0.7,1.2,6.9,"Orlando Magic",2380593,9.27936
"40","Brandan Wright",250,"PF",28,"MEM",12,2,17.7,2.9,4.3,0.673,0,0,0.293816618911175,2.9,4.3,0.673,0.673,1.1,2,0.542,1.2,2.4,3.6,0.5,0.4,1.3,0.8,1.8,6.9,"Memphis Grizzlies",5464000,13.08985
"42","Brandon Jennings",246,"PG",26,"TOT",48,7,18.1,2.3,6.3,0.368,1.1,3.2,0.329,1.3,3.1,0.409,0.452,1.2,1.6,0.731,0.3,1.7,2,3.5,0.6,0.1,1.2,1.2,6.9,"Orlando Magic",8344497,8.72812
"288","Patrick Patterson",249,"PF",26,"TOR",79,0,25.6,2.6,6.2,0.414,1.3,3.7,0.362,1.2,2.5,0.49,0.521,0.4,0.4,0.853,1,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9,"Toronto Raptors",6268675,10.49294
"212","Kosta Koufos",252,"C",26,"SAC",78,14,19,3,5.7,0.532,0,0,0.293816618911175,3,5.7,0.532,0.532,0.7,1.3,0.548,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,6.8,"Sacramento Kings",7700000,11.19328
"18","Andrea Bargnani",253,"C",30,"BRK",46,0,13.8,2.8,6.1,0.455,0.1,0.3,0.188,2.7,5.7,0.471,0.461,1,1.2,0.825,0.6,1.5,2.1,0.4,0.1,0.2,0.6,1.3,6.6,"Brooklyn Nets",1362897,6.69372
"186","Josh Richardson",255,"SG",22,"MIA",52,2,21.3,2.4,5.2,0.452,1,2.2,0.461,1.3,3,0.446,0.55,0.8,1.2,0.667,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6,"Miami Heat",525093,9.702
"371","Vince Carter",254,"SG",39,"MEM",60,3,16.8,2.2,5.7,0.388,1,2.8,0.349,1.2,2.9,0.425,0.474,1.2,1.4,0.833,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6,"Memphis Grizzlies",4088019,7.97742
"104","Ed Davis",256,"PF",26,"POR",81,0,20.8,2.5,4.2,0.611,0,0,0.293816618911175,2.5,4.2,0.611,0.611,1.4,2.5,0.559,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5,"Portland Trail Blazers",6980802,14.65789
"214","Kris Humphries",257,"PF",30,"TOT",53,17,15.8,2.3,5.6,0.41,0.6,2,0.315,1.6,3.5,0.465,0.468,1.3,1.6,0.798,1.1,3,4.1,0.7,0.3,0.4,0.7,1.8,6.5,"Washington Wizards",1000000,8.33508
"38","Boris Diaw",260,"PF",33,"SAS",76,4,18.2,2.7,5,0.527,0.3,0.9,0.362,2.3,4.1,0.564,0.56,0.7,1,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4,"San Antonio Spurs",7500000,9.828
"190","Justise Winslow",264,"SF",19,"MIA",78,8,28.6,2.5,5.9,0.422,0.4,1.5,0.276,2.1,4.4,0.471,0.457,1,1.5,0.684,1,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4,"Miami Heat",2481720,9.25425
"227","Leandro Barbosa",259,"SG",33,"GSW",68,0,15.9,2.5,5.4,0.462,0.6,1.6,0.355,1.9,3.8,0.508,0.515,0.8,0.9,0.839,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4,"Golden State Warriors",2500000,7.8898
"250","Maurice Harkless",262,"SF",22,"POR",78,14,18.7,2.5,5.3,0.474,0.5,1.8,0.279,2,3.5,0.576,0.522,0.9,1.4,0.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4,"Portland Trail Blazers",2894059,9.2655
"342","Thabo Sefolosha",263,"SF",31,"ATL",75,11,23.4,2.5,5,0.505,0.6,1.7,0.339,1.9,3.3,0.589,0.562,0.8,1.3,0.626,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4,"Atlanta Hawks",4000000,11.5772
"28","Aron Baynes",265,"C",29,"DET",81,1,15.2,2.4,4.7,0.505,0,0,0,2.4,4.7,0.508,0.505,1.6,2,0.764,1.7,3,4.7,0.6,0.3,0.6,0.8,1.9,6.3,"Detroit Pistons",6500000,9.2112
"327","Shaun Livingston",266,"PG",30,"GSW",78,3,19.5,2.6,4.9,0.536,0,0.2,0.167,2.6,4.7,0.548,0.538,1,1.2,0.86,0.5,1.6,2.2,3,0.7,0.3,1,1.8,6.3,"Golden State Warriors",5543725,10.04984
"349","Timofey Mozgov",267,"C",29,"CLE",76,48,17.4,2.7,4.7,0.565,0,0.1,0.143,2.7,4.6,0.574,0.567,0.9,1.3,0.716,1.4,3,4.4,0.4,0.3,0.8,0.9,2.1,6.3,"Cleveland Cavaliers",4950000,10.0926
"98","Donatas Motiejunas",269,"PF",25,"HOU",37,22,14.8,2.4,5.5,0.439,0.4,1.5,0.281,2,4,0.5,0.478,0.9,1.4,0.642,1,1.9,2.9,1.1,0.5,0.1,1.2,1.9,6.2,"Houston Rockets",2288205,7.32774
"257","Mike Scott",270,"PF",27,"ATL",75,0,15.3,2.3,5,0.468,0.8,2.1,0.392,1.5,2.9,0.523,0.551,0.7,0.8,0.794,0.7,2,2.7,1,0.3,0.2,0.6,1.4,6.2,"Atlanta Hawks",3333333,8.71682
"283","P.J. Hairston",268,"SF",23,"TOT",66,52,19.9,2.2,6.2,0.355,1.1,3.7,0.29,1.1,2.5,0.449,0.441,0.8,1,0.781,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,6.2,"Charlotte Hornets",1201440,6.8355
"57","Channing Frye",272,"PF",32,"TOT",70,32,17.1,2.2,5,0.438,1.3,3.4,0.387,0.9,1.6,0.545,0.569,0.4,0.5,0.857,0.5,2.8,3.3,1,0.4,0.4,0.6,1.8,6.1,"Orlando Magic",8193029,9.65024
"80","Dante Cunningham",271,"SF",28,"NOP",80,46,24.6,2.3,5.2,0.451,0.7,2.2,0.316,1.6,3,0.55,0.518,0.7,1,0.695,0.7,2.2,3,1,0.5,0.4,0.5,2.2,6.1,"New Orleans Pelicans",2850000,8.79564
"243","Mario Hezonja",273,"SF",20,"ORL",79,9,17.9,2.3,5.3,0.433,0.8,2.4,0.349,1.4,2.9,0.504,0.513,0.6,0.7,0.907,0.4,1.9,2.2,1.4,0.5,0.2,1.2,1.6,6.1,"Orlando Magic",3741480,7.67448
"292","Paul Pierce",276,"SF",38,"LAC",68,38,18.1,2.1,5.8,0.363,1.1,3.6,0.31,1,2.3,0.445,0.457,0.8,1,0.818,0.2,2.6,2.7,1,0.5,0.3,0.9,1.9,6.1,"LA Clippers",3376000,7.1749
"359","Trey Lyles",274,"PF",20,"UTA",80,33,17.3,2.4,5.5,0.438,0.6,1.6,0.383,1.8,3.9,0.461,0.494,0.7,1,0.695,0.7,3,3.7,0.7,0.3,0.2,0.8,1.4,6.1,"Utah Jazz",2239800,7.91882
"366","Tyler Zeller",277,"C",26,"BOS",60,3,11.8,2.3,4.8,0.476,0,0,0.293816618911175,2.3,4.8,0.476,0.476,1.5,1.8,0.815,1,1.9,3,0.5,0.2,0.4,0.8,1.6,6.1,"Boston Celtics",2616975,7.18284
"10","Alexis Ajinca",278,"C",27,"NOP",59,17,14.6,2.5,5.3,0.476,0,0,0,2.5,5.3,0.478,0.476,0.9,1.1,0.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6,"New Orleans Pelicans",4389607,8.211
"332","Spencer Hawes",280,"PF",27,"CHO",57,6,18.2,2.2,5.4,0.405,0.7,1.8,0.373,1.5,3.6,0.422,0.467,0.9,1.1,0.831,0.9,3.4,4.3,1.9,0.4,0.5,1,1.9,6,"Charlotte Hornets",6110034,8.78427
"298","Randy Foye",285,"SG",32,"TOT",81,8,20.3,2.1,6,0.351,0.9,3.1,0.3,1.2,2.9,0.405,0.428,0.8,0.9,0.824,0.3,1.6,1.9,2,0.5,0.4,1.1,1.6,5.9,"Oklahoma City Thunder",3135000,6.72816
"300","Raul Neto",288,"PG",23,"UTA",81,53,18.5,2.2,5.2,0.431,0.8,2,0.395,1.4,3.2,0.453,0.507,0.6,0.9,0.743,0.2,1.3,1.5,2.1,0.8,0,1.3,1.5,5.9,"Utah Jazz",900000,7.51881
